iter	Passed	Remaining
0	19	19933
1	38	19200
2	58	19597
3	77	19268
4	91	18291
5	103	17084
6	111	15800
7	119	14829
8	127	14065
9	135	13452
10	145	13037
11	154	12708
12	164	12470
13	174	12309
14	184	12115
15	194	11988
16	205	11890
17	215	11757
18	225	11636
19	234	11503
20	245	11443
21	255	11372
22	266	11302
23	278	11330
24	289	11293
25	302	11349
26	315	11368
27	329	11435
28	342	11484
29	356	11539
30	368	11519
31	381	11533
32	394	11563
33	406	11552
34	419	11564
35	433	11613
36	446	11612
37	457	11593
38	470	11583
39	482	11568
40	494	11565
41	506	11555
42	517	11523
43	529	11500
44	539	11459
45	551	11431
46	563	11424
47	574	11397
48	586	11379
49	596	11331
50	607	11312
51	617	11256
52	628	11230
53	638	11189
54	649	11151
55	660	11133
56	671	11109
57	704	11447
58	721	11511
59	735	11526
60	748	11520
61	758	11476
62	770	11462
63	779	11398
64	791	11378
65	800	11328
66	811	11294
67	821	11260
68	832	11235
69	843	11201
70	853	11165
71	864	11143
72	874	11105
73	884	11072
74	896	11052
75	905	11010
76	915	10972
77	925	10945
78	934	10896
79	943	10852
80	952	10808
81	961	10768
82	970	10723
83	980	10687
84	989	10646
85	998	10607
86	1007	10573
87	1016	10533
88	1025	10495
89	1034	10456
90	1042	10414
91	1051	10381
92	1060	10342
93	1068	10302
94	1077	10264
95	1086	10231
96	1096	10204
97	1105	10177
98	1115	10150
99	1125	10125
100	1133	10091
101	1143	10067
102	1151	10031
103	1160	10001
104	1169	9965
105	1177	9934
106	1186	9901
107	1194	9868
108	1203	9837
109	1212	9811
110	1221	9781
111	1230	9756
112	1239	9725
113	1248	9700
114	1257	9679
115	1267	9656
116	1275	9624
117	1284	9601
118	1294	9582
119	1304	9565
120	1314	9549
121	1325	9541
122	1335	9522
123	1346	9513
124	1357	9499
125	1367	9484
126	1376	9461
127	1386	9442
128	1396	9425
129	1407	9418
130	1417	9405
131	1427	9386
132	1437	9367
133	1446	9348
134	1456	9333
135	1466	9314
136	1475	9292
137	1483	9267
138	1491	9239
139	1500	9216
140	1508	9191
141	1517	9167
142	1526	9148
143	1535	9129
144	1544	9106
145	1552	9079
146	1560	9057
147	1569	9033
148	1577	9012
149	1586	8988
150	1594	8965
151	1602	8940
152	1611	8919
153	1620	8904
154	1629	8884
155	1641	8881
156	1650	8863
157	1660	8848
158	1669	8830
159	1678	8810
160	1687	8792
161	1696	8778
162	1708	8774
163	1718	8761
164	1729	8752
165	1741	8749
166	1752	8742
167	1765	8742
168	1777	8738
169	1789	8735
170	1802	8737
171	1812	8725
172	1823	8718
173	1835	8711
174	1846	8704
175	1858	8700
176	1869	8691
177	1880	8684
178	1892	8678
179	1903	8671
180	1914	8663
181	1926	8656
182	1938	8654
183	1949	8647
184	1960	8635
185	1968	8615
186	1978	8599
187	1986	8581
188	1995	8561
189	2004	8543
190	2012	8525
191	2020	8504
192	2029	8484
193	2037	8463
194	2045	8443
195	2053	8423
196	2062	8407
197	2070	8385
198	2078	8366
199	2086	8346
200	2095	8329
201	2103	8309
202	2111	8291
203	2120	8273
204	2128	8255
205	2137	8239
206	2145	8220
207	2156	8210
208	2165	8195
209	2175	8184
210	2184	8169
211	2194	8158
212	2204	8145
213	2213	8130
214	2224	8123
215	2236	8118
216	2247	8110
217	2260	8108
218	2271	8102
219	2282	8092
220	2294	8087
221	2305	8080
222	2316	8070
223	2326	8059
224	2336	8047
225	2346	8037
226	2357	8027
227	2367	8016
228	2376	8001
229	2386	7990
230	2396	7976
231	2405	7962
232	2415	7952
233	2425	7939
234	2435	7928
235	2445	7915
236	2454	7902
237	2464	7889
238	2473	7875
239	2483	7865
240	2493	7853
241	2503	7842
242	2513	7829
243	2523	7818
244	2533	7808
245	2544	7798
246	2554	7787
247	2565	7778
248	2575	7767
249	2585	7756
250	2594	7743
251	2623	7786
252	2636	7785
253	2647	7776
254	2657	7764
255	2667	7753
256	2676	7739
257	2687	7727
258	2696	7714
259	2706	7703
260	2717	7693
261	2727	7681
262	2737	7671
263	2747	7660
264	2758	7651
265	2769	7640
266	2777	7626
267	2787	7614
268	2797	7601
269	2807	7591
270	2818	7580
271	2828	7571
272	2838	7560
273	2850	7554
274	2862	7546
275	2873	7538
276	2884	7528
277	2894	7516
278	2904	7506
279	2915	7497
280	2925	7484
281	2934	7472
282	2945	7462
283	2958	7459
284	2969	7450
285	2981	7442
286	2992	7433
287	3002	7421
288	3014	7415
289	3024	7403
290	3034	7393
291	3044	7381
292	3055	7372
293	3065	7360
294	3075	7350
295	3084	7336
296	3094	7325
297	3104	7313
298	3115	7305
299	3125	7292
300	3135	7281
301	3145	7270
302	3159	7267
303	3170	7258
304	3182	7252
305	3196	7248
306	3209	7244
307	3220	7235
308	3231	7226
309	3244	7220
310	3255	7212
311	3267	7204
312	3277	7194
313	3287	7181
314	3297	7170
315	3307	7159
316	3317	7146
317	3327	7135
318	3336	7123
319	3346	7111
320	3357	7101
321	3367	7090
322	3377	7078
323	3386	7066
324	3395	7052
325	3404	7039
326	3414	7027
327	3423	7014
328	3433	7002
329	3443	6990
330	3451	6976
331	3460	6963
332	3470	6950
333	3478	6937
334	3491	6931
335	3503	6922
336	3515	6916
337	3526	6907
338	3537	6897
339	3547	6886
340	3557	6875
341	3569	6867
342	3578	6854
343	3587	6842
344	3596	6828
345	3606	6816
346	3617	6806
347	3628	6798
348	3639	6789
349	3649	6777
350	3660	6768
351	3670	6757
352	3682	6749
353	3691	6737
354	3701	6725
355	3711	6714
356	3720	6701
357	3730	6689
358	3739	6677
359	3749	6665
360	3758	6652
361	3768	6641
362	3778	6630
363	3788	6619
364	3797	6607
365	3807	6595
366	3817	6583
367	3826	6571
368	3835	6559
369	3845	6547
370	3855	6535
371	3865	6525
372	3874	6512
373	3882	6499
374	3893	6488
375	3903	6478
376	3914	6469
377	3926	6461
378	3937	6451
379	3950	6445
380	3962	6437
381	3974	6429
382	3985	6420
383	3997	6412
384	4009	6404
385	4021	6396
386	4032	6387
387	4043	6377
388	4052	6365
389	4062	6354
390	4072	6342
391	4082	6331
392	4093	6321
393	4105	6313
394	4115	6303
395	4125	6292
396	4134	6280
397	4145	6269
398	4155	6258
399	4164	6247
400	4178	6242
401	4190	6233
402	4198	6219
403	4207	6206
404	4215	6192
405	4223	6179
406	4232	6166
407	4240	6153
408	4249	6141
409	4259	6129
410	4267	6116
411	4277	6104
412	4286	6092
413	4295	6080
414	4304	6068
415	4313	6054
416	4321	6041
417	4330	6029
418	4339	6017
419	4348	6005
420	4359	5995
421	4369	5984
422	4379	5973
423	4414	5997
424	4433	5998
425	4446	5991
426	4457	5981
427	4474	5979
428	4484	5968
429	4495	5959
430	4504	5946
431	4514	5936
432	4524	5925
433	4536	5916
434	4547	5906
435	4557	5895
436	4567	5884
437	4576	5872
438	4585	5860
439	4594	5847
440	4605	5837
441	4615	5826
442	4624	5814
443	4633	5802
444	4642	5790
445	4652	5778
446	4662	5767
447	4672	5756
448	4682	5746
449	4692	5735
450	4701	5723
451	4711	5712
452	4722	5701
453	4731	5689
454	4741	5678
455	4751	5667
456	4759	5655
457	4768	5642
458	4776	5629
459	4785	5617
460	4795	5607
461	4805	5595
462	4819	5589
463	4829	5579
464	4838	5567
465	4848	5556
466	4858	5544
467	4867	5532
468	4877	5522
469	4887	5511
470	4897	5500
471	4907	5490
472	4918	5479
473	4928	5468
474	4939	5459
475	4948	5447
476	4959	5437
477	4968	5425
478	4979	5416
479	4991	5406
480	5001	5396
481	5014	5389
482	5024	5378
483	5035	5367
484	5044	5357
485	5056	5347
486	5066	5337
487	5079	5329
488	5094	5323
489	5106	5314
490	5116	5304
491	5128	5295
492	5140	5286
493	5150	5275
494	5162	5267
495	5174	5257
496	5188	5251
497	5198	5240
498	5211	5232
499	5223	5223
500	5233	5212
501	5245	5203
502	5258	5195
503	5269	5186
504	5280	5175
505	5291	5165
506	5303	5157
507	5315	5147
508	5326	5138
509	5338	5129
510	5349	5119
511	5361	5110
512	5374	5101
513	5386	5092
514	5397	5083
515	5407	5072
516	5417	5060
517	5428	5051
518	5438	5040
519	5448	5029
520	5458	5018
521	5468	5007
522	5478	4996
523	5488	4985
524	5496	4972
525	5505	4961
526	5513	4948
527	5521	4936
528	5530	4924
529	5538	4911
530	5546	4899
531	5555	4887
532	5564	4875
533	5572	4862
534	5581	4850
535	5589	4838
536	5599	4827
537	5609	4816
538	5619	4806
539	5628	4794
540	5639	4784
541	5649	4773
542	5660	4764
543	5671	4754
544	5682	4743
545	5695	4735
546	5706	4726
547	5718	4716
548	5729	4706
549	5739	4696
550	5750	4686
551	5762	4677
552	5775	4668
553	5789	4661
554	5802	4652
555	5815	4644
556	5826	4634
557	5836	4623
558	5848	4614
559	5859	4604
560	5870	4593
561	5880	4583
562	5890	4572
563	5900	4561
564	5911	4551
565	5921	4540
566	5931	4530
567	5940	4518
568	5949	4506
569	5957	4494
570	5966	4482
571	5975	4470
572	5982	4458
573	5991	4446
574	5999	4434
575	6008	4422
576	6016	4410
577	6025	4399
578	6033	4386
579	6041	4374
580	6050	4363
581	6059	4351
582	6067	4340
583	6076	4328
584	6085	4317
585	6093	4305
586	6102	4293
587	6111	4281
588	6119	4270
589	6127	4258
590	6135	4246
591	6143	4234
592	6155	4224
593	6165	4214
594	6176	4204
595	6185	4193
596	6195	4181
597	6204	4170
598	6212	4159
599	6222	4148
600	6232	4137
601	6243	4127
602	6254	4117
603	6264	4107
604	6273	4096
605	6285	4086
606	6296	4076
607	6306	4066
608	6317	4056
609	6330	4047
610	6340	4036
611	6351	4026
612	6364	4017
613	6377	4009
614	6389	3999
615	6401	3990
616	6412	3980
617	6421	3969
618	6432	3959
619	6443	3948
620	6453	3938
621	6466	3929
622	6475	3918
623	6486	3908
624	6497	3898
625	6508	3888
626	6520	3878
627	6530	3868
628	6539	3857
629	6551	3847
630	6560	3836
631	6570	3825
632	6578	3814
633	6588	3803
634	6598	3792
635	6607	3781
636	6616	3770
637	6626	3760
638	6638	3750
639	6647	3738
640	6658	3729
641	6667	3718
642	6678	3708
643	6688	3697
644	6698	3686
645	6707	3675
646	6717	3664
647	6726	3654
648	6735	3642
649	6746	3632
650	6756	3621
651	6766	3611
652	6776	3601
653	6786	3590
654	6794	3579
655	6807	3569
656	6816	3558
657	6826	3548
658	6834	3536
659	6845	3526
660	6855	3515
661	6864	3505
662	6875	3494
663	6888	3485
664	6902	3477
665	6912	3466
666	6922	3455
667	6934	3446
668	6947	3437
669	6959	3427
670	6970	3417
671	6982	3408
672	6992	3397
673	7005	3388
674	7016	3378
675	7028	3368
676	7041	3359
677	7052	3349
678	7063	3339
679	7074	3329
680	7085	3319
681	7100	3310
682	7114	3301
683	7128	3293
684	7142	3284
685	7154	3274
686	7165	3264
687	7174	3253
688	7184	3242
689	7194	3232
690	7203	3221
691	7215	3211
692	7224	3200
693	7233	3189
694	7242	3178
695	7250	3166
696	7258	3155
697	7267	3144
698	7276	3133
699	7284	3121
700	7293	3110
701	7301	3099
702	7310	3088
703	7319	3077
704	7327	3066
705	7335	3054
706	7344	3043
707	7352	3032
708	7359	3020
709	7368	3009
710	7376	2998
711	7385	2987
712	7394	2976
713	7403	2965
714	7412	2954
715	7421	2943
716	7430	2932
717	7440	2922
718	7449	2911
719	7458	2900
720	7468	2890
721	7478	2879
722	7488	2868
723	7498	2858
724	7509	2848
725	7525	2840
726	7535	2829
727	7546	2819
728	7555	2808
729	7564	2797
730	7572	2786
731	7582	2776
732	7593	2765
733	7602	2755
734	7613	2744
735	7622	2734
736	7631	2723
737	7639	2711
738	7647	2700
739	7654	2689
740	7662	2678
741	7670	2667
742	7678	2655
743	7685	2644
744	7694	2633
745	7703	2622
746	7712	2612
747	7721	2601
748	7729	2590
749	7737	2579
750	7745	2568
751	7753	2557
752	7762	2546
753	7770	2535
754	7778	2524
755	7786	2513
756	7794	2502
757	7803	2491
758	7812	2480
759	7821	2469
760	7831	2459
761	7842	2449
762	7851	2438
763	7861	2428
764	7870	2417
765	7880	2407
766	7891	2397
767	7902	2387
768	7913	2377
769	7923	2366
770	7933	2356
771	7943	2346
772	7953	2335
773	7962	2324
774	7971	2314
775	7981	2303
776	7990	2293
777	8000	2283
778	8010	2272
779	8018	2261
780	8027	2251
781	8037	2240
782	8046	2230
783	8056	2219
784	8066	2209
785	8075	2198
786	8085	2188
787	8094	2177
788	8104	2167
789	8112	2156
790	8122	2146
791	8131	2135
792	8141	2125
793	8149	2114
794	8158	2103
795	8168	2093
796	8178	2083
797	8187	2072
798	8196	2061
799	8205	2051
800	8215	2041
801	8225	2030
802	8235	2020
803	8248	2010
804	8259	2000
805	8271	1990
806	8281	1980
807	8292	1970
808	8303	1960
809	8314	1950
810	8325	1940
811	8336	1930
812	8346	1919
813	8357	1909
814	8366	1899
815	8377	1888
816	8387	1878
817	8397	1868
818	8409	1858
819	8419	1848
820	8429	1837
821	8438	1827
822	8447	1816
823	8456	1806
824	8466	1795
825	8475	1785
826	8484	1774
827	8493	1764
828	8503	1754
829	8513	1743
830	8522	1733
831	8531	1722
832	8541	1712
833	8551	1702
834	8560	1691
835	8570	1681
836	8580	1671
837	8590	1660
838	8600	1650
839	8610	1640
840	8620	1629
841	8630	1619
842	8641	1609
843	8651	1599
844	8664	1589
845	8675	1579
846	8685	1569
847	8696	1558
848	8709	1548
849	8719	1538
850	8730	1528
851	8742	1518
852	8752	1508
853	8765	1498
854	8777	1488
855	8787	1478
856	8798	1468
857	8809	1458
858	8823	1448
859	8834	1438
860	8843	1427
861	8852	1417
862	8863	1407
863	8873	1396
864	8883	1386
865	8894	1376
866	8905	1366
867	8915	1355
868	8925	1345
869	8935	1335
870	8945	1324
871	8956	1314
872	8966	1304
873	8976	1294
874	8988	1284
875	8999	1273
876	9011	1263
877	9021	1253
878	9033	1243
879	9045	1233
880	9059	1223
881	9072	1213
882	9082	1203
883	9095	1193
884	9107	1183
885	9117	1173
886	9128	1162
887	9138	1152
888	9148	1142
889	9161	1132
890	9172	1122
891	9184	1112
892	9198	1102
893	9210	1092
894	9221	1081
895	9231	1071
896	9242	1061
897	9252	1050
898	9263	1040
899	9272	1030
900	9283	1020
901	9293	1009
902	9304	999
903	9314	989
904	9325	978
905	9335	968
906	9346	958
907	9358	948
908	9368	937
909	9380	927
910	9391	917
911	9401	907
912	9412	896
913	9422	886
914	9433	876
915	9443	866
916	9454	855
917	9464	845
918	9475	835
919	9487	824
920	9497	814
921	9509	804
922	9521	794
923	9534	784
924	9545	773
925	9556	763
926	9567	753
927	9578	743
928	9590	732
929	9602	722
930	9618	712
931	9630	702
932	9643	692
933	9652	682
934	9662	671
935	9671	661
936	9681	650
937	9692	640
938	9700	630
939	9711	619
940	9721	609
941	9731	599
942	9740	588
943	9750	578
944	9760	568
945	9771	557
946	9780	547
947	9790	537
948	9800	526
949	9811	516
950	9821	506
951	9830	495
952	9841	485
953	9850	474
954	9860	464
955	9870	454
956	9880	443
957	9890	433
958	9900	423
959	9909	412
960	9919	402
961	9929	392
962	9939	381
963	9948	371
964	9957	361
965	9967	350
966	9977	340
967	9987	330
968	9996	319
969	10006	309
970	10017	299
971	10028	288
972	10039	278
973	10049	268
974	10058	257
975	10069	247
976	10078	237
977	10089	226
978	10102	216
979	10116	206
980	10128	196
981	10138	185
982	10150	175
983	10160	165
984	10170	154
985	10181	144
986	10192	134
987	10202	123
988	10213	113
989	10224	103
990	10233	92
991	10243	82
992	10253	72
993	10263	61
994	10273	51
995	10284	41
996	10293	30
997	10305	20
998	10316	10
999	10326	0
